week,count
2012-06,3.0
2012-07,1.0
2012-09,1.0
2012-10,2.0
2012-11,3.0
2012-12,5.0
2012-13,2.0
2012-17,3.0
2012-19,1.0
2012-20,4.0
2012-22,3.0
2012-26,7.0
2012-28,2.0
2012-40,2.0
2012-42,2.0
2012-44,3.0
2012-47,1.0
2012-48,3.0
2012-49,2.0
2012-52,2.0
2013-00,1.0
2013-02,2.0
2013-04,1.0
2013-07,1.0
2013-16,1.0
2013-19,8.0
2013-20,5.0
2013-21,1.0
2013-22,3.0
2013-23,5.0
2013-24,4.0
2013-25,19.0
2013-26,10.0
2013-27,18.0
2013-28,2.0
2013-33,3.0
2013-50,1.0
2014-06,1.0
2014-14,1.0
2014-15,1.0
2014-48,5.0
2014-49,40.0
2014-50,3.0
2014-51,47.0
2014-52,9.0
2015-00,68.0
2015-01,324.0
2015-02,686.0
2015-03,38.0
2015-04,429.0
2015-05,57.0
2015-06,368.0
2015-07,569.0
2015-08,33.0
2015-09,71.0
2015-10,320.0
2015-11,1373.0
2015-12,63.0
2015-13,254.0
2015-14,227.0
2015-15,245.0
2015-16,635.0
2015-17,787.0
2015-18,512.0
2015-19,406.0
2015-20,252.0
2015-21,1467.0
2015-22,13160.0
2015-23,13617.0
2015-24,1859.0
2015-25,567.0
2015-26,2529.0
2015-27,443.0
2015-28,906.0
2015-29,10060.0
2015-30,294.0
2015-31,166.0
2015-32,1135.0
2015-33,897.0
2015-34,924.0
2015-35,539.0
2015-36,272.0
2015-37,644.0
2015-38,607.0
2015-39,293.0
2015-40,657.0
2015-41,1580.0
2015-42,341.0
2015-43,461.0
2015-44,167.0
2015-45,588.0
2015-46,1900.0
2015-47,1847.0
2015-48,2177.0
2015-49,2556.0
2015-50,2410.0
2015-51,1571.0
2015-52,644.0
2016-00,70.0
2016-01,1249.0
2016-02,1166.0
2016-03,1026.0
2016-04,1430.0
2016-05,1887.0
2016-06,2278.0
2016-07,1838.0
2016-08,2147.0
2016-09,1512.0
2016-10,1224.0
2016-11,1594.0
2016-12,2321.0
2016-13,1221.0
2016-14,1038.0
2016-15,412.0
2016-16,933.0
2016-17,755.0
2016-18,1030.0
2016-19,1795.0
2016-20,2010.0
2016-21,1916.0
2016-22,1266.0
2016-23,1583.0
2016-24,1581.0
2016-25,1572.0
2016-26,1070.0
2016-27,1311.0
2016-28,698.0
2016-29,1284.0
2016-30,976.0
2016-31,1250.0
2016-32,1153.0
2016-33,1209.0
2016-34,1266.0
2016-35,1298.0
2016-36,2078.0
2016-37,5944.0
2016-38,4623.0
2016-39,1892.0
2016-40,12466.0
2016-41,4420.0
2016-42,4050.0
2016-43,3954.0
2016-44,3823.0
2016-45,4791.0
2016-46,4473.0
2016-47,2912.0
2016-48,4244.0
2016-49,5147.0
2016-50,4946.0
2016-51,4628.0
2016-52,4653.0
2017-01,4623.0
2017-02,4462.0
2017-03,3973.0
2017-04,3795.0
2017-05,3891.0
2017-06,3668.0
2017-07,3830.0
2017-08,4293.0
2017-09,4139.0
2017-10,4148.0
2017-11,3903.0
2017-12,3867.0
2017-13,4047.0
2017-14,4366.0
2017-15,4246.0
2017-16,4273.0
2017-17,4335.0
2017-18,3506.0
2017-19,397.0
2017-20,295.0
2017-21,376.0
2017-22,368.0
2017-23,1061.0
2017-24,1911.0
2017-25,401.0
2017-26,572.0
2017-27,1895.0
2017-28,2269.0
2017-29,3407.0
2017-30,4101.0
2017-31,22695.0
2017-32,42146.0
2017-33,57067.0
2017-34,2205.0
2017-35,7012.0
2017-36,6061.0
2017-37,7470.0
2017-38,6053.0
2017-39,6801.0
2017-40,7961.0
2017-41,6745.0
2017-42,7075.0
2017-43,626.0
2017-44,48.0
2017-45,2826.0
2017-46,5431.0
2017-47,4246.0
2017-48,5261.0
2017-49,5884.0
2017-50,138.0
2017-51,33.0
2017-52,17.0
2017-53,3.0
2018-00,10.0
2018-01,50.0
2018-02,28.0
2018-03,6.0
2018-04,18.0
2018-05,13.0
2018-06,6.0
2018-07,11.0
2018-08,6.0
2018-09,15.0
2018-10,6.0
2018-11,6.0
